species,rep,Apre,gspre,Epre,PARpre,Asat,gssat,gsmax,gsrelk,Esat,PARsat,Tleaf,VPDpre,VPDsat,MPa,treatment,date,ld,maxvalue,LA
Ebl,20,0.95,0,0.04,1000.62,0.88,0,0.65,0,0.01,1498.52,27.85,1.23,1.33,3.76,d,9/12/2016,,N,6
Ebl,3,0.51,0.01,0.13,400.85,0.49,0,0.65,0,0.01,1500.17,27.27,0.92,1.16,3.61,d,9/12/2016,,N,6
Ebl,9,11.83,0.2,1.29,340.53,18.96,0.27,0.65,0.42,2,1498.95,26.19,0.68,0.81,0.87,w,12/12/2016,,Y,6
Ebl,11,8.83,0.14,0.95,200,15.79,0.19,0.65,0.29,1.56,1499.74,26.5,0.71,0.86,2.08,d,12/12/2016,,N,6
Ebl,18,9.58,0.07,0.61,351.06,11.9,0.1,0.65,0.15,0.9,1499.09,26.92,0.88,0.95,2.18,d,12/12/2016,,N,6
Ebl,23,1.14,0,0.03,239.47,1.28,0,0.65,0,0.06,1499.05,27.98,1.05,1.37,3.58,d,12/12/2016,,N,6
Ebl,9,4.31,0.51,6.8,80.42,14.73,0.55,0.65,0.85,7.71,1499.03,22.44,1.57,1.66,0.76,d,15/12/2016,,N,6
Ebl,11,4.02,0.28,4.63,70.32,14.56,0.32,0.65,0.49,5.51,1498.78,23.08,1.83,1.93,0.77,d,15/12/2016,,N,6
Ebl,17,2.67,0.28,4.47,39.95,12.59,0.35,0.65,0.54,5.36,1498.69,23.5,1.72,1.72,1.17,w,15/12/2016,,Y,6
Ebl,21,2.65,0.59,5.76,49.77,22.9,0.65,0.65,1,6.7,1498.84,22.39,1.17,1.26,1.33,w,15/12/2016,,Y,6
Ebl,14,2.8,0.02,0.34,1498.98,1.76,0.01,0.65,0.02,0.25,40.25,24.1,2.17,1.88,2.64,d,15/12/2016,,N,6
Ebl,15,1.71,0.02,0.3,38.92,1.64,0.01,0.65,0.02,0.22,1500.2,23.92,1.81,2.07,2.6,d,15/12/2016,,N,6
Ebl,4,2.25,0.02,0.3,59.65,3.12,0.02,0.65,0.03,0.35,1499.7,24.05,1.76,1.97,3.08,d,15/12/2016,,N,6
Ebl,9,6.97,0.24,1.75,110.18,20.93,0.38,0.65,0.58,3.05,1499.11,23.86,0.8,0.91,1.55,w,19/12/2016,,Y,6
Ebl,11,8.57,0.3,2.11,149.47,19.4,0.46,0.65,0.71,3.36,1499.36,24.06,0.77,0.84,1.55,d,19/12/2016,,N,6
Ebl,21,17.11,0.37,2.55,430.44,26.13,0.52,0.65,0.8,3.48,1499.02,24.79,0.77,0.79,1.39,w,19/12/2016,,Y,6
Ebl,17,10.73,0.26,1.78,210.62,20.63,0.39,0.65,0.6,2.96,1498.8,25.16,0.75,0.84,1.53,w,19/12/2016,,Y,6
Ebl,9,0.67,0.01,0.16,289.26,0.8,0.01,0.65,0.02,0.1,1499.26,28,1.23,1.48,2.75,d,21/12/2016,,N,6
Ebl,11,8.48,0.42,2.92,151.13,19.83,0.55,0.65,0.85,4.28,1498.9,26.35,0.78,0.91,2.05,d,21/12/2016,,N,6
Ebl,21,5.56,0.03,0.45,440.46,5.73,0.04,0.65,0.06,0.62,1499.79,28.1,1.43,1.72,1.92,w,21/12/2016,ld,N,6
